Ticker,Short Name,Price,Pe Ratio,Peg Ratio,Eps Ttm,Total Revenue,Growth,3-4 Year Sales Growth,Cagr,Ebit,Enterprise Value,Invested Capital,Roic,Dividendyield,Dividend Yield%,Earnings Growth,Roe,Roa,Debt To Equity,Pb Ratio,Free Cash Flow,Market Cap,Rev Growth,Sector
PG,Procter & Gamble Company (The),153.51,23.58,3.72,6.51,84283998208.0,6.34,5.11,1.39,21074000000.0,387596451840.0,85742000000.0,0.25,2.75,0.03,0.15,0.31,0.11,0.7,7.02,11380124672.0,359577223168.0,0.02,Consumer Defensive
ABBV,AbbVie Inc.,198.05,93.86,0.42,2.11,58327998464.0,223.54,0.24,0.07,5892000000.0,415460786176.0,70298000000.0,0.08,3.3,0.03,-0.32,1.13,0.09,0.0,-1904.33,20039749632.0,349867212800.0,0.07,Healthcare
PLTR,Palantir Technologies Inc.,186.96,644.69,4.77,0.29,3440587008.0,135.19,85.84,18.77,569548000.0,437867184128.0,5928901000.0,0.1,,0.0,1.44,0.15,0.06,0.04,74.78,1269297536.0,443532705792.0,0.48,Technology
BAC,Bank of America Corporation,46.01,13.49,1.31,3.41,98455003136.0,10.33,14.33,3.79,,345417646080.0,637413000000.0,,2.49,0.02,0.03,0.09,0.01,0.0,1.24,,340793753600.0,0.04,Financial Services
CVX,Chevron Corporation,155.01,19.95,4.46,7.77,189393993728.0,4.48,24.3,6.22,23127000000.0,293351686144.0,175884000000.0,0.13,4.47,0.04,-0.44,,,0.2,1.81,,315170979840.0,-0.11,Energy
SAP,SAP  SE,292.12,45.36,1.51,6.44,35887001600.0,30.05,26.8,6.81,10422000000.0,343061725184.0,48112000000.0,0.22,0.86,0.01,0.91,0.16,0.09,0.21,8.3,7365875200.0,338941018112.0,0.09,Technology
GE,GE Aerospace,275.01,39.18,6.39,7.02,41611001856.0,6.13,-31.46,-9.96,9663000000.0,297208709120.0,38022000000.0,0.25,0.53,0.0,0.6,0.4,0.05,1.03,15.24,5096124928.0,291631628288.0,0.21,Industrials
AMD,"Advanced Micro Devices, Inc.",172.76,103.45,0.82,1.67,29600000000.0,126.65,56.9,13.32,2477000000.0,277797240832.0,62883000000.0,0.04,,0.0,2.29,0.05,0.02,0.07,4.7,2303624960.0,280361828352.0,0.32,Technology
ASML,ASML Holding N.V. - New York Re,722.32,25.91,1.46,27.88,32163299328.0,17.8,51.86,12.3,11991000000.0,276276772864.0,3698900000.0,3.24,1.04,0.0,0.45,0.58,0.16,0.21,15.88,8555400192.0,284016214016.0,0.23,Technology
KO,Coca-Cola Company (The),70.34,24.94,2.54,2.82,47061999616.0,9.82,21.75,5.61,16727000000.0,340232962048.0,78031000000.0,0.21,2.9,0.03,0.58,0.42,0.09,1.66,10.59,1707124992.0,302720122880.0,0.01,Consumer Defensive
CSCO,"Cisco Systems, Inc.",71.79,29.3,2.32,2.45,55623000064.0,12.61,8.0,2.16,12140000000.0,291156885504.0,75214000000.0,0.16,2.35,0.02,0.32,0.21,0.06,0.67,6.19,11596375040.0,284288417792.0,0.11,Technology
WFC,Wells Fargo & Company,77.85,13.38,1.78,5.82,77618003968.0,7.53,3.95,1.08,,264160149504.0,374724000000.0,,2.34,0.02,0.12,0.11,0.01,0.0,1.52,,249387810816.0,0.02,Financial Services
PM,Philip Morris International Inc,170.18,25.17,1.2,6.76,39058001920.0,20.95,20.61,5.34,14735000000.0,314206388224.0,39496000000.0,0.37,3.21,0.03,0.26,,0.15,0.0,-22.14,7828749824.0,264900460544.0,0.07,Consumer Defensive
CRM,"Salesforce, Inc.",240.51,37.7,1.29,6.38,38591000576.0,29.29,43.04,10.45,7927000000.0,224539557888.0,69101000000.0,0.11,0.69,0.01,0.0,0.1,0.05,0.2,3.8,14429875200.0,229927550976.0,0.08,Technology
NOVN.SW,NOVARTIS N,94.06,16.98,1.26,5.54,55186001920.0,13.52,17.62,4.61,16706000000.0,208060350464.0,72769000000.0,0.23,3.76,0.04,0.24,0.32,0.12,0.78,4.34,14683875328.0,182086041600.0,0.15,Healthcare
NESN.SW,NESTLE N,72.1,18.02,3.85,4.0,90898997248.0,4.68,4.86,1.33,,245746106368.0,35917000000.0,,4.23,0.04,-0.1,0.34,0.07,2.26,6.44,5756874752.0,185493110784.0,-0.02,Consumer Defensive
UNH,UnitedHealth Group Incorporated,250.89,10.86,0.96,23.1,422817988608.0,11.28,39.18,9.61,32236000000.0,274137694208.0,176309000000.0,0.18,3.61,0.03,-0.19,0.22,0.06,0.76,2.27,27210000384.0,227592339456.0,0.13,Healthcare
ABT,Abbott Laboratories,134.28,16.83,,7.98,43108999168.0,0.0,-2.61,-0.73,8428000000.0,240160833536.0,64002000000.0,0.13,1.79,0.02,0.37,0.31,0.07,0.27,4.62,5919750144.0,233708978176.0,0.07,Healthcare
IBM,International Business Machines,242.27,39.08,1.9,6.2,64040001536.0,20.51,9.42,2.53,8077000000.0,285379854336.0,91673000000.0,0.09,2.69,0.03,0.2,0.23,0.05,2.45,8.2,13859999744.0,225679114240.0,0.08,Technology
GS,"Goldman Sachs Group, Inc. (The)",721.27,15.88,3.23,45.42,54793998336.0,4.91,-9.82,-2.83,,-27536861184.0,479766000000.0,,2.22,0.02,0.22,0.13,0.01,5.88,1.91,,218343571456.0,0.14,Financial Services
ROG.SW,ROCHE GS,246.4,21.01,0.65,11.73,63488000000.0,32.39,-0.65,-0.18,,225335607296.0,66421000000.0,,3.89,0.04,0.18,0.31,0.13,1.05,6.84,11726000128.0,197405081600.0,0.04,Healthcare
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,939.3,12.36,2.43,0.76,56207998976.0,5.08,4.9,1.34,,-34200451072.0,322252000000.0,,5.35,0.0,-0.28,0.1,0.01,0.0,95.1,,163279470592.0,-0.11,Financial Services
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,10922.0,27.51,0.93,3.97,56500998144.0,29.56,44.51,10.76,11697000000.0,195646996480.0,75925000000.0,0.15,2.23,0.0,0.27,0.2,0.08,0.74,378.57,8967874560.0,170924933120.0,0.12,Healthcare
LIN,Linde plc,472.42,33.55,2.4,14.08,33244999680.0,13.98,7.18,1.94,9331000000.0,242725208064.0,64435000000.0,0.14,1.28,0.01,0.06,0.17,0.07,0.65,5.75,3551624960.0,221522477056.0,0.03,Basic Materials
USD,ProShares Ultra Semiconductors,,49.85,,,,0.0,0.0,0.0,,,,,0.32,0.0,,,,0.0,,,,,
DIS,Walt Disney Company (The),112.43,17.62,0.88,6.38,94535000064.0,19.98,35.51,8.8,12834000000.0,243648708608.0,151408000000.0,0.08,0.89,0.01,1.01,0.11,0.05,0.37,1.85,7444250112.0,202141270016.0,0.02,Communication Services
INTU,Intuit Inc.,749.0,61.09,1.98,12.26,18183999488.0,30.9,69.05,15.69,4576000000.0,,26531000000.0,0.17,0.55,0.01,-0.15,0.18,0.09,0.0,10.39,5197749760.0,208931307520.0,0.41,Technology
MCD,McDonald's Corporation,305.45,26.17,2.74,11.67,26059999232.0,9.55,11.61,3.1,12099000000.0,273738940416.0,38643000000.0,0.31,2.3,0.02,0.11,,0.13,0.0,-78.97,5429000192.0,217970343936.0,0.05,Consumer Cyclical
CAT,"Caterpillar, Inc.",416.52,21.2,2.02,19.65,63139000320.0,10.5,27.15,6.89,12203000000.0,231733936128.0,59409000000.0,0.21,1.45,0.01,-0.19,0.53,0.09,2.18,10.46,4527875072.0,195130867712.0,-0.01,Industrials
SHEL.L,SHELL PLC ORD EUR0.07,2653.0,15.79,2.07,1.68,272011001856.0,7.64,8.72,2.35,31063000000.0,201798483968.0,181136000000.0,0.17,4.05,0.0,0.02,0.08,0.05,0.41,86.59,22522374144.0,159272861696.0,-0.12,Energy
MRK,"Merck & Company, Inc.",80.69,12.43,0.79,6.49,63616000000.0,15.75,31.75,7.96,20438000000.0,228393123840.0,84395000000.0,0.24,4.03,0.04,-0.19,0.35,0.13,0.72,4.12,15720999936.0,201545875456.0,-0.02,Healthcare
RTX,RTX Corporation,154.86,34.04,1.54,4.55,83598999552.0,22.1,25.39,6.48,9957000000.0,249153273856.0,104376000000.0,0.1,1.75,0.02,13.93,0.1,0.04,0.68,3.32,2800750080.0,207286304768.0,0.09,Industrials
T,AT&T Inc.,28.08,16.05,1.1,1.75,123984003072.0,14.61,-8.73,-2.5,25476000000.0,360377810944.0,237583000000.0,0.11,3.96,0.04,0.25,0.12,0.04,1.23,1.91,12400000000.0,200782938112.0,0.04,Communication Services
CBA.AX,CWLTH BANK FPO [CBA],176.61,30.29,,5.83,26734000128.0,0.0,15.95,4.19,,492243714048.0,279111000000.0,,2.55,0.03,0.08,0.13,0.01,0.0,3.92,,295291912192.0,0.05,Financial Services
PEP,"Pepsico, Inc.",145.21,26.5,3.14,5.48,91747999744.0,8.43,15.58,4.1,10423000000.0,242355699712.0,69802000000.0,0.15,3.95,0.04,-0.59,0.4,0.09,2.77,10.8,7594375168.0,198804127744.0,0.01,Consumer Defensive
VZ,Verizon Communications Inc.,43.15,10.03,2.08,4.3,137000001536.0,4.83,0.88,0.24,30539000000.0,354506407936.0,249059000000.0,0.12,6.31,0.06,0.09,0.18,0.05,1.67,1.77,17947250688.0,181934211072.0,0.05,Communication Services
BKNG,Booking Holdings Inc. Common St,5405.91,37.7,1.37,143.41,25024999424.0,27.59,116.64,23.94,7812000000.0,177697734656.0,11815000000.0,0.66,0.71,0.01,-0.41,,0.18,0.0,-26.33,7627125248.0,175205007360.0,0.16,Consumer Cyclical
SIE,416520,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
RY.TO,ROYAL BANK OF CANADA,182.37,14.51,,12.57,58142998528.0,0.0,16.06,4.22,,-34812829696.0,621973000000.0,,3.38,0.03,0.11,0.14,0.01,0.0,2.11,,257198227456.0,0.08,Financial Services
NOW,"ServiceNow, Inc.",872.51,109.75,1.93,7.95,12056999936.0,56.89,86.3,18.85,2028000000.0,177339400192.0,12422000000.0,0.16,,0.0,0.47,0.17,0.05,0.22,16.56,3972624896.0,181062418432.0,0.22,Technology
GEV,GE Vernova Inc.,649.09,157.16,3.43,4.13,36615000064.0,45.82,5.84,1.59,654000000.0,170455547904.0,8877000000.0,0.07,0.15,0.0,-0.6,0.11,0.02,0.11,19.91,3577999872.0,176697884672.0,0.11,Industrials
SPGI,S&P Global Inc.,556.87,42.74,2.43,13.03,14700000256.0,17.62,71.24,16.1,5909000000.0,184751407104.0,44778000000.0,0.13,0.69,0.01,0.06,0.11,0.06,0.32,5.09,4939125248.0,170012409856.0,0.06,Financial Services
C,"Citigroup, Inc.",92.73,13.7,1.03,6.77,73325002752.0,13.34,12.8,3.4,,-323485696000.0,570193000000.0,,2.63,0.02,0.25,0.07,0.01,0.0,0.87,,170706665472.0,0.08,Financial Services
TMO,Thermo Fisher Scientific Inc,460.72,26.66,1.85,17.28,43212001280.0,14.39,9.35,2.51,8392000000.0,202903453696.0,85740000000.0,0.1,0.38,0.0,0.04,0.13,0.05,0.7,3.44,5182750208.0,173973405696.0,0.03,Healthcare
SCHW,Charles Schwab Corporation (The,97.08,26.1,0.83,3.72,21625999360.0,31.51,5.86,1.59,,163659481088.0,80157000000.0,,1.13,0.01,0.6,,,1.1,4.37,,176391454720.0,0.25,Financial Services
ISRG,"Intuitive Surgical, Inc.",470.08,65.38,3.44,7.19,9144999936.0,18.98,46.27,11.13,2633700000.0,163196747776.0,17845700000.0,0.15,,0.0,0.25,0.16,0.09,0.0,9.44,1824712448.0,168512864256.0,0.21,Healthcare
7203.T,TOYOTA MOTOR CORP,2773.0,8.53,,325.0,48452151017472.0,0.0,53.08,12.55,5868292000000.0,59567958392832.0,74483986000000.0,0.08,3.43,0.03,-0.37,0.12,0.03,1.04,1.0,1305369378816.0,36141617119232.0,0.04,Consumer Cyclical
MS,Morgan Stanley,143.18,16.2,1.75,8.84,65612001280.0,9.28,2.14,0.59,,155591360512.0,450772000000.0,,2.84,0.03,0.15,0.14,0.01,4.39,2.32,,228563943424.0,0.11,Financial Services
AXP,American Express Company,297.43,20.89,1.99,14.24,63435001856.0,10.51,52.85,12.5,,208058368000.0,92006000000.0,,1.11,0.01,-0.04,0.33,0.04,1.88,6.41,,206976172032.0,0.09,Financial Services
TXN,Texas Instruments Incorporated,187.22,34.23,1.98,5.47,16675000320.0,17.25,-14.74,-4.33,6189000000.0,177701683200.0,30446000000.0,0.2,2.93,0.03,0.15,0.3,0.1,0.86,10.38,-1568999936.0,170208641024.0,0.16,Technology
UBER,"Uber Technologies, Inc.",89.56,15.26,13.81,5.87,47331000320.0,1.1,151.95,29.24,7040000000.0,192774094848.0,33326000000.0,0.21,,0.0,0.34,0.67,0.06,0.52,8.27,5608500224.0,186770210816.0,0.18,Technology
AMGN,Amgen Inc.,288.23,23.55,0.96,12.24,34916999168.0,24.5,28.66,7.25,10364000000.0,201447620608.0,63632000000.0,0.16,3.34,0.03,0.92,0.99,0.07,7.57,20.89,10363249664.0,155172077568.0,0.09,Healthcare
BA,Boeing Company (The),229.12,,,-16.55,75326996480.0,0.0,6.79,1.84,-7901000000.0,206644854784.0,50022000000.0,-0.16,,0.0,,,-0.04,0.0,-52.44,-6363874816.0,173250920448.0,0.35,Industrials
QCOM,QUALCOMM Incorporated,147.56,14.24,1.67,10.36,43256999936.0,8.5,16.08,4.23,12962000000.0,162203107328.0,41997000000.0,0.31,2.44,0.02,0.25,0.45,0.14,0.54,5.88,5465999872.0,159217254400.0,0.1,Technology
BLK,"BlackRock, Inc.",1124.97,27.17,2.42,41.4,21572999168.0,11.24,5.33,1.45,9042000000.0,182664364032.0,61903000000.0,0.15,1.87,0.02,0.07,0.14,,0.28,3.63,,174204960768.0,0.13,Financial Services
ULVR.L,UNILEVER PLC ORD 3 1/9P,4501.0,23.08,1.79,1.95,59770998784.0,12.87,15.86,4.17,,139710431232.0,49159000000.0,,3.37,0.0,-0.05,0.29,0.09,1.61,620.14,5469374976.0,110357315584.0,-0.03,Consumer Defensive
ICSUAGD,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,2129.5,13.35,3.39,159.5,5440777224192.0,3.93,45.4,10.95,,-19686425100288.0,66266457000000.0,,3.29,0.03,-0.02,0.06,0.0,0.0,1.21,,24234348773376.0,-0.05,Financial Services
6758.T,SONY GROUP CORPORATION,3995.0,20.33,9.46,196.55,12567030267904.0,2.15,30.6,7.69,1591842000000.0,24326038355968.0,9906994000000.0,0.16,0.63,0.01,0.02,0.14,0.03,0.19,2.9,-21843090079744.0,23940676190208.0,-0.13,Technology
NOVO-B.CO,Novo Nordisk B A/S,323.05,12.94,1.28,24.96,311937990656.0,10.12,106.25,22.26,151128000000.0,1452687360000.0,267334000000.0,0.57,5.12,0.04,0.32,0.79,0.22,0.59,8.54,26440624128.0,1435449950208.0,0.13,Healthcare
BSX,Boston Scientific Corporation,103.14,61.39,1.79,1.68,18493999104.0,34.33,40.87,9.98,3331000000.0,164555866112.0,33879000000.0,0.1,,0.0,1.46,0.12,0.05,0.53,6.81,2937874944.0,152827691008.0,0.23,Healthcare
ALV,"Autoliv, Inc.",112.4,12.32,,9.12,10462000128.0,0.0,26.25,6.68,1078000000.0,10623130624.0,4520000000.0,0.24,3.01,0.02,0.21,0.3,0.08,0.89,3.5,333750016.0,8633128960.0,0.04,Consumer Cyclical
PGR,Progressive Corporation (The),246.51,13.88,5.2,17.76,82375999488.0,2.67,58.03,13.55,13409500000.0,149173256192.0,39499000000.0,0.34,2.0,0.02,1.18,0.37,0.08,0.21,4.43,13717175296.0,144506388480.0,0.21,Financial Services
SHOP.TO,SHOPIFY INC,205.82,83.33,,2.47,10014000128.0,0.0,92.55,19.95,1531000000.0,265076588544.0,13043000000.0,0.12,,0.0,4.3,0.22,0.07,0.09,22.06,900875008.0,267496030208.0,0.31,Technology
NEE,"NextEra Energy, Inc.",72.41,25.23,2.74,2.87,25898999808.0,9.21,45.02,10.87,7892000000.0,250709377024.0,143986000000.0,0.05,3.12,0.03,0.25,0.08,0.03,1.53,2.94,-13566249984.0,149113192448.0,0.1,Utilities
ACN,Accenture plc,239.2,19.03,1.86,12.57,68482535424.0,10.21,28.42,7.19,10712866000.0,150078603264.0,35705764000.0,0.3,2.45,0.02,0.14,0.27,0.11,0.26,4.88,9149394944.0,148986429440.0,0.08,Technology
TJX,"TJX Companies, Inc. (The)",131.37,30.91,2.99,4.25,56991997952.0,10.33,16.09,4.23,6514000000.0,155365425152.0,11370000000.0,0.57,1.29,0.01,-0.03,0.6,0.13,1.54,17.24,2886874880.0,146558992384.0,0.05,Consumer Cyclical
MC,Moelis & Company,70.02,27.35,,2.56,1384443008.0,0.0,-22.46,-6.82,244616000.0,5231931392.0,515982000.0,0.47,3.74,0.04,2.16,0.45,0.18,0.37,10.07,,5194111488.0,0.38,Financial Services
HON,Honeywell International Inc.,216.31,24.61,2.1,8.79,39990001664.0,11.72,11.94,3.18,8327000000.0,165035900928.0,52607000000.0,0.16,2.09,0.02,0.02,0.34,0.07,2.26,8.53,4571874816.0,137334571008.0,0.08,Industrials
ADBE,Adobe Inc.,341.05,21.88,0.97,15.59,22601000960.0,22.51,36.24,8.96,8547000000.0,144362127360.0,17614000000.0,0.49,,0.0,0.08,0.52,0.18,0.57,12.72,8323500032.0,144673406976.0,0.11,Technology
AMAT,"Applied Materials, Inc.",184.87,22.49,1.82,8.22,28088999936.0,12.35,17.83,4.66,8557000000.0,146900549632.0,25222000000.0,0.34,1.0,0.01,0.24,0.36,0.16,0.35,7.82,3740875008.0,148357791744.0,0.07,Technology
PFE,"Pfizer, Inc.",24.58,13.01,0.86,1.89,63833001984.0,15.2,-21.73,-6.57,13364000000.0,188862824448.0,149621000000.0,0.09,7.1,0.07,69.98,0.12,0.05,0.7,1.58,16017999872.0,139750817792.0,0.1,Healthcare
UNP,Union Pacific Corporation,222.24,19.31,2.71,11.51,24393000960.0,7.12,11.22,3.0,10193000000.0,164923097088.0,49071000000.0,0.21,2.48,0.02,0.12,0.42,0.09,2.09,8.11,4991499776.0,131797213184.0,0.02,Industrials
SU,Suncor Energy  Inc.,39.22,11.88,,3.3,49733001216.0,0.0,40.25,9.84,8177000000.0,59364016128.0,54522000000.0,0.15,4.24,0.06,-0.28,0.13,0.06,0.32,1.07,7225874944.0,47583670272.0,-0.07,Energy
ETN,"Eaton Corporation, PLC",362.84,36.5,3.02,9.94,25988999168.0,12.1,26.75,6.8,4909000000.0,151301292032.0,29602000000.0,0.17,1.16,0.01,-0.01,0.21,0.08,0.62,7.59,2308250112.0,141253607424.0,0.11,Industrials
SAN,"Banco Santander, S.A. Sponsored",9.31,9.8,3.22,0.95,50157998080.0,3.04,31.89,7.99,,93944217600.0,412464000000.0,,2.73,0.01,0.07,0.14,0.01,0.0,1.4,,138570039296.0,-0.16,Financial Services
COF,Capital One Financial Corporati,208.23,594.94,0.91,0.35,23772999680.0,654.72,28.51,7.21,,133429690368.0,162880000000.0,,1.16,0.01,,0.0,0.0,0.0,1.26,,133166620672.0,-0.81,Financial Services
GILD,"Gilead Sciences, Inc.",119.41,25.09,0.23,4.76,28863000576.0,109.36,5.31,1.45,8202000000.0,156616753152.0,44621000000.0,0.18,2.87,0.03,0.21,0.33,0.13,1.27,7.54,7921750016.0,148537688064.0,0.02,Healthcare
SYK,Stryker Corporation,377.58,49.88,2.15,7.57,23818000384.0,23.25,32.07,8.03,4683000000.0,158552997888.0,37771000000.0,0.12,0.89,0.01,0.07,0.14,0.08,0.81,6.81,3489499904.0,144351477760.0,0.11,Healthcare
ANET,"Arista Networks, Inc.",139.18,54.58,2.8,2.55,7950945792.0,19.47,137.55,27.15,3429902000.0,166086131712.0,10901600000.0,0.31,,0.0,0.34,0.34,0.15,0.0,16.1,3328752384.0,174931165184.0,0.3,Technology
LOW,"Lowe's Companies, Inc.",241.15,19.95,2.4,12.09,83240001536.0,8.33,-13.07,-3.81,10469000000.0,171089543168.0,21470000000.0,0.49,2.01,0.02,-0.06,,0.14,0.0,-10.19,5662374912.0,135149625344.0,-0.02,Consumer Cyclical
APH,Amphenol Corporation,109.98,43.82,2.01,2.51,18818000896.0,21.79,39.96,9.78,4276300000.0,139193303040.0,19581700000.0,0.22,0.61,0.01,1.08,0.31,0.13,0.7,11.65,1797137536.0,134276792320.0,0.56,Technology
DHR,Danaher Corporation,200.56,42.67,1.99,4.7,24013000704.0,21.47,-3.74,-1.05,4367000000.0,157735075840.0,69689000000.0,0.06,0.64,0.01,-0.39,0.07,0.04,0.35,2.74,3883249920.0,143611379712.0,0.03,Healthcare
TD.TO,TORONTO-DOMINION BANK,100.76,10.45,,9.64,62215999488.0,0.0,33.1,8.26,,29578194944.0,550254000000.0,,4.19,0.04,3.34,0.15,0.01,0.0,1.42,,173557088256.0,0.69,Financial Services
BHP.AX,BHP GROUP FPO [BHP],40.21,11.66,,3.45,53971001344.0,0.0,-2.22,-0.62,,220149121024.0,60436000000.0,,4.73,0.03,3.76,0.28,0.13,0.44,4.48,10038500352.0,204054888448.0,-0.08,Basic Materials
SAF,Saratoga Investment Corp 6.25% ,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
UBSG.SW,UBS GROUP N,31.94,20.88,,1.53,47011000320.0,0.0,29.34,7.4,,130737668096.0,432552000000.0,,2.33,0.03,1.11,0.07,0.0,0.0,1.13,,101223604224.0,0.01,Financial Services
CMCSA,Comcast Corporation,31.67,5.25,2.58,6.03,124184002560.0,2.04,6.31,1.71,31793000000.0,209380179968.0,198379000000.0,0.16,4.17,0.04,1.83,0.25,0.05,1.04,1.21,3575500032.0,116932288512.0,0.02,Communication Services
DE,Deere & Company,510.37,24.63,1.55,20.72,45383999488.0,15.93,17.39,4.55,10429000000.0,197548818432.0,90569000000.0,0.12,1.28,0.01,-0.24,0.24,0.04,2.75,5.69,4988000256.0,138221977600.0,-0.16,Industrials
6501.T,HITACHI,4228.0,33.39,,126.63,9830272073728.0,0.0,-4.69,-1.32,537106000000.0,19293443981312.0,7053207000000.0,0.08,1.09,0.01,0.1,,,0.24,3.33,,19310332346368.0,0.02,Industrials
